Date,Open,High,Low,Close,Adj Close,Volume
2022-08-17,5.480000,5.530000,5.470000,5.500000,5.475323,2011700
2022-08-18,5.430000,5.470000,5.420000,5.430000,5.405637,1524400
2022-08-19,5.400000,5.410000,5.320000,5.330000,5.306086,1155400
2022-08-22,5.220000,5.220000,5.160000,5.190000,5.166714,2308600
2022-08-23,5.200000,5.210000,5.160000,5.190000,5.166714,1984600
2022-08-24,5.200000,5.240000,5.170000,5.180000,5.156759,1290700
2022-08-25,5.170000,5.200000,5.140000,5.200000,5.176669,807900
2022-08-26,5.190000,5.220000,5.060000,5.060000,5.037297,2041800
2022-08-29,4.990000,5.040000,4.990000,5.030000,5.007432,2842300
2022-08-30,5.130000,5.130000,5.020000,5.020000,4.997477,1985900
2022-08-31,5.050000,5.070000,5.010000,5.010000,4.987522,2104900
2022-09-01,5.040000,5.090000,5.030000,5.080000,5.057207,2378800
2022-09-02,5.070000,5.100000,4.990000,4.990000,4.967611,2169500
2022-09-06,4.980000,4.990000,4.920000,4.950000,4.927791,2397100
2022-09-07,4.980000,5.120000,4.970000,5.100000,5.077117,3132200
2022-09-08,5.090000,5.140000,5.060000,5.130000,5.106983,2788300
2022-09-09,5.160000,5.220000,5.160000,5.220000,5.196579,1610800
2022-09-12,5.280000,5.310000,5.270000,5.290000,5.266265,1490600
2022-09-13,5.170000,5.210000,5.120000,5.130000,5.106983,3743600
2022-09-14,5.170000,5.190000,5.100000,5.110000,5.087073,2405100
2022-09-15,5.080000,5.150000,5.050000,5.070000,5.047253,2431600
2022-09-16,4.950000,4.980000,4.920000,4.960000,4.937746,2786500
2022-09-19,4.920000,5.010000,4.920000,4.990000,4.967611,2264500
2022-09-20,4.980000,5.010000,4.940000,4.980000,4.957656,3848100
2022-09-21,4.960000,5.000000,4.910000,4.910000,4.887970,2581900
2022-09-22,4.880000,4.890000,4.810000,4.810000,4.788419,3616500
2022-09-23,4.760000,4.800000,4.740000,4.780000,4.758554,3121900
2022-09-26,4.760000,4.840000,4.760000,4.790000,4.768508,2647500
2022-09-27,4.840000,4.870000,4.770000,4.790000,4.768508,2869400
2022-09-28,4.820000,4.880000,4.780000,4.870000,4.848149,2746800
2022-09-29,4.740000,4.750000,4.680000,4.720000,4.698822,2412900
2022-09-30,4.750000,4.780000,4.700000,4.710000,4.688868,2426000
2022-10-03,4.740000,4.830000,4.740000,4.790000,4.768508,2612500
2022-10-04,4.900000,4.960000,4.880000,4.960000,4.937746,3379300
2022-10-05,4.910000,4.960000,4.900000,4.930000,4.907880,4247300
2022-10-06,4.920000,4.930000,4.860000,4.860000,4.838195,2992600
2022-10-07,4.840000,4.840000,4.700000,4.730000,4.708777,8806900
2022-10-10,4.910000,4.950000,4.860000,4.930000,4.907880,5335700
2022-10-11,4.860000,4.860000,4.750000,4.750000,4.728688,5497100
